Size,Built In ,Bubble,Merge
5300,0.0016789,0.245606,0.0115158
5300,0.0014362,0.245875,0.0117896
5300,0.0014058,0.245847,0.0121434
5400,0.0016555,0.25461,0.012286
5400,0.0017397,0.25435,0.0121628
5400,0.0014885,0.255091,0.0122246
5500,0.0016236,0.265182,0.0127356
5500,0.0016272,0.26407,0.01197
5500,0.0017055,0.263174,0.0125636
5600,0.0016995,0.273692,0.0126504
5600,0.0016019,0.275074,0.0128083
5600,0.0015368,0.275591,0.0126967
5700,0.001621,0.28273,0.0125131
5700,0.0016096,0.284385,0.0126353
5700,0.0017127,0.284945,0.0128968
5800,0.0017522,0.294104,0.0128478
5800,0.0015827,0.295537,0.0131706
5800,0.0015795,0.295248,0.0137489
5900,0.0017586,0.301778,0.0129401
5900,0.0017128,0.303182,0.0133393
5900,0.0015802,0.304669,0.013442
6000,0.00174,0.314097,0.0134455
6000,0.0017628,0.311725,0.0139392
6000,0.0016352,0.314022,0.0136905
6100,0.0016826,0.321421,0.0140594
6100,0.0018278,0.326842,0.014522
6100,0.0019098,0.326219,0.0142431
6200,0.0019815,0.334066,0.0139529
6200,0.001696,0.334553,0.0143152
6200,0.0018883,0.335412,0.0140093
6300,0.0018648,0.34595,0.014385
6300,0.0019945,0.346628,0.0139306
6300,0.0019814,0.34434,0.0144316
6400,0.0019752,0.35988,0.0144669
6400,0.0019039,0.358411,0.0139928
6400,0.0017752,0.355893,0.0151041
6500,0.0020884,0.366981,0.0147615
6500,0.0020303,0.37158,0.0141274
6500,0.0017799,0.368972,0.0145361
6600,0.0019535,0.380543,0.0146376
6600,0.0019936,0.380747,0.0143399
6600,0.0017965,0.378404,0.0150347
6700,0.0021394,0.393152,0.0146658
6700,0.0020504,0.391941,0.014738
6700,0.002006,0.389938,0.0153559
6800,0.0018965,0.404357,0.0151055
6800,0.0018658,0.408395,0.0150932
6800,0.0022335,0.414286,0.0154308
6900,0.0021022,0.41596,0.0157107
6900,0.0021511,0.417822,0.0159722
6900,0.0021095,0.414393,0.0152541
7000,0.0020002,0.426532,0.0160344
7000,0.0019309,0.426392,0.015449
7000,0.0019453,0.425451,0.0165777
7100,0.0023105,0.439882,0.0161981
